Bedrooms,Bathrooms,SquareFootage,LotSize,YearBuilt,Location,ProximityToAmenities,CrimeRate,SchoolQuality,AvgIncome,PropertyTaxRate,HOAFees,HouseStyle,GarageSpaces,Basement,Fireplaces,HeatingType,CoolingType,RoofQuality,ExteriorQuality,KitchenQuality,TotalRooms,LotConfig,Neighborhood,ConditionOfHouse,DistanceToWork,AccessToPublicTransport,WalkScore,EnergyEfficiency,RenovatedYear,Age,SalePrice
5,2,3044,0.6542403453409699,2012,Suburban,1.5525799499463504,40.640628680099546,3,95355,1.8334872287670114,1.3340840046431324,Cape Cod,2,No,2,Electric,None,2,1,4,7,Corner,West,1,11.39026555479084,4,20,9.857676058248133,2008.0,10,675868.5837904311
4,2,3272,0.39613652650682035,1953,Urban,4.655283077736509,85.12611673620603,3,42974,1.7860096718654612,446.9042716083153,Bungalow,3,Yes,1,Gas,Window,1,4,4,13,FR2,Central,9,3.205728651962695,6,92,8.000184814484172,1987.0,69,654793.5566640904
1,1,4800,0.33047971236516005,1965,Urban,0.7106055898238041,79.84842429304254,7,142004,1.1419237888447828,441.91466173774273,Contemporary,1,No,2,Solar,Central,2,2,3,13,CulDSac,Central,5,18.93642375424987,1,92,8.688090716314495,1968.0,57,854683.7580945037
1,1,616,0.8855217421917201,1948,Suburban,3.297132181985438,26.71652625879899,7,156794,0.5872007645500692,158.4818268490008,Colonial,1,No,2,Electric,Central,2,3,4,7,FR2,South,9,7.539415190518706,6,90,6.942942781429461,1974.0,74,131612.77710127932
3,2,3791,0.4870022758017589,1915,Urban,0.3583268550390557,24.454044298429935,1,100202,1.525672845829292,352.14213493963774,Ranch,3,No,1,Gas,Window,4,2,2,12,CulDSac,South,9,24.197726313333337,5,28,1.8605003280869947,1997.0,107,647540.6831043108
3,3,992,0.14030039325605814,1901,Suburban,2.286235145282213,22.732207107002743,3,104442,0.76639870116942,126.40445564915775,Bungalow,1,No,2,Electric,None,3,2,4,6,Inside,North,3,12.127607313951401,2,78,0.31028442418032265,2017.0,121,170658.15220833992
2,3,1024,0.8354094296249347,1959,Urban,2.8144994873783955,33.9237340528867,8,182890,2.7649728766230055,379.3867811269692,Cape Cod,0,No,2,Oil,Window,4,4,2,13,FR2,East,8,14.027475227574234,1,46,8.646566077360136,1990.0,63,294249.01398466027
4,3,1171,0.09525919456468127,1953,Urban,1.559979163452641,49.81987195616854,9,85598,0.6031258086793263,280.5598708938717,Contemporary,3,Yes,0,Gas,None,2,3,3,13,Inside,South,7,19.56945059640899,6,11,3.963306537361231,1954.0,69,296422.25584359694
4,3,4231,0.7404117629597868,1929,Urban,2.329870614049884,43.86677720315755,7,163726,1.5791271354609535,150.11272712382916,Cape Cod,2,No,2,Oil,Window,3,3,3,4,Inside,East,7,22.975198451635304,2,57,2.6386487603991995,2001.0,93,834776.6714919319
3,1,1720,0.7852109106821319,1983,Urban,0.9014135931979181,21.827319878149375,7,63758,0.6306139592520696,200.1173768188273,Colonial,3,No,0,Gas,Central,2,1,2,14,FR2,Central,2,7.317901493019296,9,40,5.616729588389444,1982.0,39,399520.52650049573
4,2,841,0.3849724756324152,1937,Suburban,1.5902068623933774,13.045140994361804,8,54204,0.7388596864119158,344.9443661192018,Cape Cod,0,No,1,Oil,Central,2,3,3,8,FR2,North,2,29.00568272668531,9,18,4.2089852247571935,2017.0,85,213054.72427175933
4,3,4497,0.8335484634638974,1927,Rural,3.143420992059995,1.2577812486195383,6,157309,2.147166667305055,453.04872482189154,Ranch,3,Yes,0,Solar,None,1,3,1,10,CulDSac,East,2,18.858485606017094,1,11,6.51665995687557,1958.0,95,923868.3735014511
1,1,4695,0.5398764355636307,1924,Urban,1.5788202737196602,15.396323866650386,3,196000,2.1177781524352364,65.36325828363732,Contemporary,2,No,2,Oil,Window,4,3,1,7,FR3,South,2,0.6663393932614334,5,22,4.8379323305451365,1976.0,98,853881.7423194107
3,3,2879,0.49012897060915694,1995,Suburban,4.508741084203471,70.53563701941182,1,60552,0.5826304871985994,285.6819848345786,Contemporary,2,No,1,Electric,None,4,2,1,12,Inside,Central,4,12.760855192744758,8,4,6.9723314044027065,1951.0,27,602844.3818838918
5,2,1388,0.09313311739525792,1909,Suburban,3.17919409244085,24.363856934558292,7,171408,0.5028286878021755,126.86459972855873,Ranch,3,No,2,Gas,Central,2,1,1,9,Corner,West,7,13.386125708607251,4,25,8.53423269509143,1996.0,113,317667.9353014958
3,1,1314,0.32552773396646056,1959,Urban,2.249380190336324,46.86018101215098,1,77037,0.69704519310696,400.6861249377296,Cape Cod,3,No,2,Electric,None,1,3,1,9,CulDSac,Central,2,24.37036679124471,3,62,1.9555701095578903,2014.0,63,236054.00620821744
5,2,3449,0.9344594723410348,1941,Rural,0.28990898421549416,59.13011489232447,1,177278,2.4074972442798552,35.11865293474054,Ranch,0,Yes,0,Oil,Window,2,3,3,6,CulDSac,South,5,9.501623336554864,5,51,3.2943288056548683,1983.0,81,638058.1948599467
1,2,1375,0.42223276511932495,1939,Urban,2.547786842502889,88.68409028316071,9,64831,1.9614411818787678,344.4778950855849,Bungalow,0,No,2,Gas,None,2,3,2,13,FR3,South,7,10.271182230701422,5,9,4.368155865706389,2000.0,83,232621.19492571015
2,1,4626,0.5693654945289299,1996,Suburban,3.8474035864129377,88.88550983934195,10,73563,0.595295612971229,87.4730068455149,Ranch,2,Yes,0,Oil,Window,2,2,3,13,FR3,West,9,2.579575739150753,8,85,9.620584480276381,2010.0,26,957012.0890439817
4,1,2847,0.5554205950350393,1976,Rural,1.4012322302608269,74.5733733681359,7,48361,1.7202425396820682,298.1927092016146,Cape Cod,1,Yes,1,Solar,Window,1,2,4,8,Inside,Central,8,8.864607723511536,6,38,3.653336135474853,2000.0,46,622557.8280150238
1,1,678,0.6109095353315587,2019,Suburban,4.0531904912789605,3.5156992048501423,4,71335,2.2800733926361283,417.846293596346,Ranch,1,No,1,Solar,Central,3,1,1,13,CulDSac,East,9,21.650370193832575,2,22,3.8109984959262952,1995.0,3,188659.34536439506
4,1,4526,0.10826440786111849,2004,Urban,1.3338531536493194,57.50704190854149,6,104469,2.6723784865020157,377.5403310608398,Colonial,1,No,2,Solar,Window,1,4,1,9,CulDSac,East,7,19.225329127014678,1,10,6.534725229595612,2002.0,18,943273.7981353991
2,1,1455,0.39406744205879185,2017,Rural,4.136357300958922,78.65834708315064,1,55816,2.8350912266475263,376.47144384181865,Ranch,1,Yes,0,Oil,Window,2,1,3,7,Corner,Central,3,2.9011255962328746,3,91,4.191997098899493,1976.0,5,307555.19924028136
2,1,2748,0.7369718601884265,1941,Suburban,0.5178148738972193,1.7288044763363208,7,176691,1.3186014073851666,258.9226560934526,Ranch,2,No,2,Oil,Window,3,2,4,6,Inside,East,1,3.8834698173860978,2,94,9.512237456396052,1971.0,81,547269.2149176379
1,1,1631,0.24053223851933375,1946,Suburban,4.344300173458245,54.96846136565783,6,122479,0.8395810710331643,445.37279592486067,Cape Cod,1,No,2,Solar,None,2,3,3,8,Inside,Central,7,11.619315935790686,4,71,8.944687604754439,1983.0,76,285716.174636976
2,3,3871,0.2433994586690424,1936,Suburban,2.5460136095733197,85.77641457860294,4,56819,1.0923148018286186,294.05259912099893,Bungalow,1,No,2,Oil,Central,1,3,2,10,FR3,Central,6,22.440853983159787,3,47,5.134087777756729,1980.0,86,736698.9985258479
5,2,4176,0.0595860763545735,2017,Urban,1.553034189139284,47.4102075842267,7,172813,2.4404287301005594,458.7589842747853,Bungalow,3,Yes,2,Electric,None,1,1,1,14,Inside,South,2,25.071089204794582,9,91,6.447752339478498,1950.0,5,916701.4612644446
2,1,4782,0.46560783027779923,1979,Rural,1.3990549270342292,0.4106202897448452,3,152330,2.9287105376057765,273.2612289162088,Cape Cod,1,Yes,0,Oil,None,3,3,3,9,Corner,North,1,0.9314092687955136,5,15,0.5803056188362055,1964.0,43,915575.2794511558
4,3,4056,0.888597661639751,2008,Urban,2.2168517387587774,1.101335833560746,1,38798,1.6659840434009514,252.98278151000147,Cape Cod,3,No,2,Electric,Central,1,2,2,5,Inside,South,4,10.205812030568321,4,45,6.957305280323981,1964.0,14,851758.5725231224
4,3,4106,0.09930589640794356,1921,Urban,4.995342540707861,41.663603741375056,4,186215,1.2633830338694745,111.17650960515724,Cape Cod,2,No,1,Solar,None,2,1,1,4,FR2,East,4,13.015724977042963,9,46,7.072008729490323,1999.0,101,815741.9111301701
4,3,1007,0.2315627740212025,1956,Urban,1.1796042278441548,15.500866741675456,3,79695,1.5729764549000862,272.3933270151025,Colonial,3,Yes,0,Oil,None,3,4,1,8,FR2,North,6,27.37841791831847,4,94,3.5919929564320805,2015.0,66,260643.2521697047
4,2,3311,0.3445803114256173,1983,Rural,0.6057615795070982,66.44506570932596,1,193819,1.2620328616128311,70.2924156244485,Contemporary,0,Yes,2,Solar,Window,4,2,1,8,Corner,Central,5,15.291493452428565,6,47,2.1968288362527266,2002.0,39,672118.4267563017
5,1,3688,0.7451384997360022,2013,Urban,2.9666723267214437,70.8799264906154,2,159544,1.1412188080178858,434.84510062977273,Ranch,3,Yes,0,Gas,None,2,2,4,9,FR3,East,9,8.456172574747672,1,79,9.150784018170167,1968.0,9,770222.537052237
3,3,2268,0.6586038131624572,2006,Urban,2.4938580855572603,17.78797954606286,5,182254,1.984376881017949,337.9459443541467,Cape Cod,1,Yes,2,Oil,Central,4,3,3,6,CulDSac,West,8,12.006388422333421,2,68,4.267049008051277,1981.0,16,521015.4807883896
1,2,747,0.44514670935276224,1926,Urban,2.6685617282102063,88.85332885244848,8,39415,0.539339950933861,496.81772424647096,Cape Cod,3,Yes,1,Oil,None,3,2,1,4,Inside,East,9,13.374816024095042,4,98,6.537061048017106,1956.0,96,127615.8011531575
4,2,4927,0.771115492295457,1940,Urban,3.367983546030364,44.19078449789259,1,172157,1.1488806216624705,46.04871389526155,Cape Cod,3,Yes,1,Solar,Window,3,2,1,7,FR3,North,7,20.264878269113716,9,24,0.3332879497625596,1972.0,82,948293.6822532936
2,2,4497,0.6291494610740569,1979,Suburban,1.4090059423661818,14.284590759192373,4,176080,2.1534551946124725,120.33637492264343,Bungalow,2,Yes,1,Solar,None,2,4,2,7,FR3,North,9,1.7120895975390438,6,76,4.140671665768362,2001.0,43,918973.0901094207
4,3,2550,0.9012387596743581,1933,Urban,4.562258477381054,76.42515980693955,4,117638,0.5801567407670125,438.57930213306963,Cape Cod,2,No,0,Solar,Central,1,3,3,13,Inside,Central,3,11.988824059218334,6,92,8.1725881101388,2012.0,89,485716.68301692215
2,1,965,0.8271254116817583,1931,Suburban,2.234793123999223,78.99745000167728,5,48452,0.7080045412723375,197.62704988445884,Ranch,1,Yes,1,Gas,Window,2,2,2,5,CulDSac,West,9,19.573361788976314,9,90,3.8757600040071507,2006.0,91,169047.87506796478
2,3,2274,0.2901729257847405,1989,Urban,0.7325223561980627,63.92954726654575,7,169192,1.233490361964462,233.15149499094878,Cape Cod,0,Yes,2,Gas,None,1,3,3,11,Inside,Central,2,8.858008303249724,4,80,6.031611601368768,1985.0,33,505134.883148762
4,3,3146,0.30786664875249015,1988,Rural,3.7372639079963275,85.34655532025532,8,140205,2.694511996522462,430.3259436938084,Ranch,0,No,2,Solar,Central,1,2,1,9,CulDSac,West,9,17.956654696592548,3,36,2.0985580048453945,1960.0,34,676320.5758252828
5,1,1162,0.16908865200276635,1965,Suburban,3.2512113278274666,73.73729720306713,6,48170,2.4122154004132406,260.91161247497615,Colonial,3,No,2,Oil,Central,2,4,4,6,Corner,West,6,11.0397284380693,7,62,4.165256488395595,1952.0,57,291949.7582666266
2,1,4162,0.37011648943158365,1911,Suburban,1.647142672171782,88.22057372269906,1,46259,0.5553915735406088,96.73792470718406,Contemporary,0,No,0,Oil,None,3,3,2,4,CulDSac,Central,4,22.882265591449876,7,28,9.276377180531867,1979.0,111,637874.5542410833
2,1,3089,0.9995667227831396,1939,Suburban,3.145441747766838,43.38880484854795,7,52099,1.7542820417212297,446.01505770489047,Bungalow,2,Yes,0,Solar,None,2,3,4,14,FR3,East,2,2.2876320456435573,9,57,5.6645174970103715,1986.0,83,553327.9837530233
4,2,1372,0.4354636101843079,1972,Suburban,1.177323586207987,74.75971280994425,3,170721,1.186718734968542,15.530828211516745,Ranch,1,Yes,1,Electric,Window,4,4,4,6,Corner,South,3,27.579878430690012,6,97,9.019314590929316,1985.0,50,322884.7420112853
2,1,2637,0.25946401295465105,1975,Rural,2.279712860768595,99.97515634290444,6,159394,2.1216141476551575,447.6981338217216,Colonial,1,No,0,Gas,None,3,1,4,11,FR2,West,5,5.562570164494781,2,93,9.020192994895433,1962.0,47,520629.63677039684
2,3,4023,0.7743587402517754,1989,Urban,4.5071213586198935,72.49311975196193,8,89258,2.303884706483653,25.260113336167343,Contemporary,2,No,2,Gas,Window,1,2,3,7,Corner,North,9,5.1771390591058,6,30,9.441478004244795,2021.0,33,792517.530598493
4,1,3167,0.5653474532895233,1972,Suburban,0.7543177424876721,11.418378023713217,7,41805,2.657156442823206,332.92468230006403,Contemporary,1,No,2,Electric,None,3,2,3,6,CulDSac,Central,7,25.29896687080977,8,85,8.953916600801053,1972.0,50,624686.5573081824
4,3,2173,0.1921213770506049,1909,Rural,1.994812604938564,51.831872242918294,10,73147,1.6885405927600357,35.83968983766733,Contemporary,3,Yes,2,Solar,Central,2,1,4,14,Corner,East,3,26.143846229204716,6,88,0.03281129010300643,1958.0,113,475780.4815668483
1,2,4294,0.41165519710282245,1995,Suburban,4.123597881129702,58.7347791243028,6,104280,2.9861252213639613,353.10649298253276,Ranch,1,No,0,Oil,Central,3,3,1,7,Corner,West,4,3.2427127466511085,9,67,9.34014891581597,1986.0,27,829986.1732605094
5,3,3891,0.4437462297623761,2020,Urban,4.850505407090273,17.4210675071391,9,136777,2.9499652682177735,16.985660666475443,Colonial,0,Yes,2,Oil,Central,1,3,1,14,FR2,East,2,27.307208376439853,4,98,1.374594390853764,1991.0,2,915370.5761497318
5,3,1846,0.7661382155407577,1997,Suburban,2.3242380684668,96.28916341780376,9,127841,2.705416811177583,421.22886385539374,Cape Cod,1,Yes,1,Gas,Central,1,4,4,7,CulDSac,Central,8,8.5622870685048,3,40,0.39926251111150557,1985.0,25,467097.28790957696
2,1,4319,0.06963780044730924,1947,Rural,2.584298138702403,17.55797776346163,1,154726,1.937173737895177,232.97197546499237,Colonial,1,Yes,0,Electric,Window,3,4,2,5,FR3,North,6,18.749339719537637,5,49,0.5538853457805282,1990.0,75,765714.9028025527
5,1,4439,0.3055686644583949,1919,Urban,2.9036426127404718,17.755791971322278,1,158359,1.4950160937595376,46.72695633443896,Colonial,2,Yes,2,Oil,Central,4,4,2,7,Corner,West,3,2.523507967032925,3,43,3.489161951764336,1980.0,103,854351.1321289148
2,3,959,0.5417164862497459,1938,Rural,4.668505894005183,91.5167137974555,1,106215,1.4109657753494624,353.40972250507195,Colonial,2,No,2,Gas,Window,1,1,3,14,Inside,West,5,11.729502483281928,2,8,6.208040852687936,1962.0,84,180641.25580009725
1,1,2976,0.30540440533020113,1959,Urban,4.3052132757874455,46.520543312167106,8,142909,0.5303118752193621,244.64507875188124,Ranch,0,No,0,Oil,Window,4,1,2,12,FR3,East,5,13.796375968583865,2,58,4.023111965189975,1952.0,63,540262.1734436606
4,2,3609,0.6470123450480489,1965,Urban,0.9359455106460574,6.31882792745162,10,125365,1.1229362431059162,95.47442943772144,Ranch,2,No,0,Oil,Window,1,3,1,7,Corner,Central,1,18.194883796011162,4,89,0.2555428464937948,1972.0,57,750881.8475527262
4,2,3593,0.5077741053108857,1964,Urban,2.2401133074506676,59.81874999385286,7,40985,2.2970205873729115,7.836186944362888,Ranch,0,Yes,1,Oil,None,3,4,4,4,FR3,South,5,15.995523156726739,3,90,4.764826341747147,1958.0,58,749712.8376180092
4,1,1562,0.3936247421166016,1950,Suburban,2.3736020981624892,60.182634863304784,3,42391,2.0090802497326665,208.9991298627686,Colonial,3,No,0,Gas,Window,1,3,2,4,Inside,West,6,14.114042364001982,9,26,4.4213074227038005,1964.0,72,310394.21088234644
5,2,4232,0.9517481955269866,1935,Rural,3.966570947078908,6.45007586865618,2,34861,2.791055472918834,42.81461536426778,Ranch,0,Yes,2,Electric,None,4,1,4,4,FR3,North,2,28.80938624708484,7,81,7.568492655016469,1987.0,87,820700.6601331435
1,1,2427,0.6505515242271346,1923,Rural,3.0541751247666333,97.2522495633662,4,64364,0.6250556672913947,47.084849123618596,Contemporary,1,Yes,1,Solar,Window,4,2,2,8,FR3,West,3,5.958171921138895,6,93,2.7961289842543833,1966.0,99,378810.53364063415
5,3,2213,0.17344430365454416,2017,Rural,3.305680263942164,54.40299652945756,3,112399,0.8881915079433265,133.66477418133843,Ranch,0,Yes,2,Electric,None,3,3,3,9,Inside,West,5,5.1608298040767115,8,58,2.1753117379436713,1973.0,5,558831.588931379
5,3,2240,0.5820871125712257,1926,Urban,4.991179547561527,55.979572217976425,7,72923,2.473109473380325,315.2291486212122,Bungalow,3,No,2,Oil,None,4,1,1,9,Inside,South,3,21.545862296569812,9,94,2.559389576766262,1955.0,96,436610.9696965691
1,2,2816,0.7916952605408559,1901,Suburban,0.467304213003064,52.01154145023945,10,168991,1.3962690779883344,264.9553042804746,Ranch,1,Yes,2,Electric,Central,4,4,3,9,Inside,South,5,2.6992806036718475,3,2,3.03739822629848,2004.0,121,503374.0548488719
1,1,4912,0.7230652126181575,1930,Urban,1.1927481353152918,61.073177964462,8,115818,0.7958633342946948,34.4936541293403,Ranch,0,Yes,0,Oil,Window,3,2,4,12,FR2,Central,5,14.745297951831164,7,92,5.991648733671665,1995.0,92,915646.4414719732
1,1,977,0.2134847678304964,1956,Rural,2.0986900931205796,26.429975277375494,6,195912,2.991126262750223,484.2156379462349,Ranch,2,No,0,Gas,None,1,2,1,4,Inside,West,8,14.77956701499011,9,6,4.715254854520799,1951.0,66,186278.9094980459
1,2,4814,0.9737989990880982,1977,Suburban,1.8041337749395474,28.72413479748408,3,101160,2.468125756673407,443.58434414729555,Ranch,2,No,2,Gas,Central,3,2,1,13,FR3,West,9,9.645747263293195,1,81,3.368945651790579,,45,956777.7991113898
4,3,4885,0.47637296345927566,1965,Suburban,0.2060632506002196,51.133908979613274,6,158165,1.5218525918953065,129.61274357257912,Bungalow,2,No,0,Gas,Window,1,4,3,9,Inside,East,8,27.948090379565834,9,15,3.743141582836784,1981.0,57,964378.5863089501
3,2,969,0.20107375355324825,1928,Suburban,0.5497102717087616,80.66858547635796,2,169248,2.5583686923653506,61.16928798107063,Cape Cod,0,Yes,2,Oil,Central,1,2,2,11,Corner,East,3,8.835031335332337,7,48,3.7092366015897618,2019.0,94,167804.8161010921
3,3,2796,0.22118596642174054,1914,Rural,3.4366711278775237,4.986457649417886,7,63529,2.201509675297883,471.2014323784951,Ranch,0,Yes,0,Electric,None,1,1,3,11,Inside,North,1,9.009037591028273,4,31,9.724066947103173,2007.0,108,561911.6534755147
1,1,4347,0.14332324257962648,1911,Suburban,4.408689870476547,60.340421222024595,10,174013,2.4749368989245832,230.57088894034993,Contemporary,3,No,0,Solar,Central,2,3,4,6,Inside,North,3,7.4118489445997735,6,88,2.3299698805295255,2020.0,111,795218.019913352
3,3,1251,0.8133422030131876,2000,Suburban,2.6197123552032906,80.6778142506314,7,31669,2.5380159439141248,155.5834823857179,Bungalow,1,Yes,0,Solar,Central,1,2,2,8,CulDSac,East,1,4.80074703900661,6,43,8.180615602722586,1980.0,22,344587.6647850801
3,2,1369,0.1659289696057562,1927,Urban,2.742036289616802,15.691727203722717,4,147373,0.7118217082257947,245.1790175825937,Cape Cod,1,Yes,1,Gas,Window,3,2,3,13,FR3,North,9,11.238326132779358,6,95,7.08210837588187,1965.0,95,256295.37567207005
1,1,3021,0.16886899428465957,1983,Urban,1.3499578208786591,1.5022541980566295,8,74859,2.0574322192202392,386.3720722732061,Ranch,1,No,0,Solar,None,3,1,3,7,FR3,West,3,20.586174170012686,2,18,0.055700056035505874,1965.0,39,596733.4242094959
3,2,1380,0.8579480340227957,2002,Suburban,3.862594181805186,31.27132951414581,4,85786,0.516963882442069,84.19264915152725,Cape Cod,1,No,1,Oil,Window,3,4,2,4,Corner,South,8,22.393804451737296,5,2,9.931762181254879,1969.0,20,344973.7392010803
5,2,2316,0.37737388022518165,1923,Suburban,3.7837934780995566,58.81437067295982,7,50323,0.6086406157529265,383.7479167546536,Contemporary,0,No,1,Electric,Window,2,2,2,12,FR2,West,6,24.49585803470509,7,59,7.564393706335736,2003.0,99,424090.9548828885
2,3,4583,0.07931500909266882,1920,Urban,2.982991877166518,13.828317340474772,4,36021,2.759950022639602,374.7233939669327,Bungalow,0,No,1,Solar,Central,4,1,2,8,CulDSac,East,3,6.327544711680978,6,34,6.824495863507913,1954.0,102,857272.6542848013
2,2,1911,0.09930053454249033,1909,Urban,1.1420550039055801,42.61223709724855,5,69807,1.8189093033920138,269.67410242043985,Bungalow,3,No,2,Solar,None,2,1,3,5,Corner,Central,9,1.551164303072028,3,28,4.0532470767663735,1997.0,113,327319.0768160516
1,3,3959,0.18506192436870078,2009,Urban,0.5753892693617383,55.2321497374278,7,158305,2.339754964671312,432.92114437479086,Cape Cod,1,No,0,Electric,Window,3,4,2,5,Corner,Central,8,29.253232825407558,5,74,5.552030889142896,1974.0,13,834429.1711955598
4,1,1122,0.25272368057690503,1977,Rural,0.4147690216999169,59.88830947573172,10,80355,2.596252476107865,66.07168908493027,Ranch,0,No,2,Solar,None,3,4,2,14,FR3,East,3,0.9228093189496418,8,69,2.5327089566747016,1980.0,45,250759.2431856553
